week,household,school,workplace,family,community,total
2021-05-31/2021-06-06,0.0,0.03896103896103896,0.025974025974025976,0.0,0.19480519480519481,0.2597402597402597
2021-06-07/2021-06-13,0.058823529411764705,0.023529411764705882,0.11764705882352941,0.0,0.23529411764705882,0.43529411764705883
2021-06-14/2021-06-20,0.06422018348623854,0.07339449541284404,0.07339449541284404,0.0,0.1926605504587156,0.4036697247706422
2021-06-21/2021-06-27,0.07476635514018691,0.07476635514018691,0.11214953271028037,0.009345794392523364,0.24299065420560748,0.514018691588785
2021-06-28/2021-07-04,0.028985507246376812,0.028985507246376812,0.11594202898550725,0.0,0.2753623188405797,0.4492753623188406
2021-07-05/2021-07-11,0.07526881720430108,0.010752688172043012,0.13978494623655913,0.0,0.25806451612903225,0.4838709677419355
2021-07-12/2021-07-18,0.0,0.041666666666666664,0.1875,0.0,0.19791666666666666,0.4270833333333333
2021-07-19/2021-07-25,0.03614457831325301,0.024096385542168676,0.1686746987951807,0.0,0.20481927710843373,0.43373493975903615
2021-07-26/2021-08-01,0.06666666666666667,0.013333333333333334,0.13333333333333333,0.0,0.25333333333333335,0.4666666666666667
2021-08-02/2021-08-08,0.056074766355140186,0.018691588785046728,0.12149532710280374,0.0,0.205607476635514,0.40186915887850466
2021-08-09/2021-08-15,0.061855670103092786,0.05154639175257732,0.13402061855670103,0.0,0.21649484536082475,0.4639175257731959
2021-08-16/2021-08-22,0.04854368932038835,0.05825242718446602,0.11650485436893204,0.0,0.18446601941747573,0.4077669902912621
2021-08-23/2021-08-29,0.03296703296703297,0.03296703296703297,0.18681318681318682,0.0,0.16483516483516483,0.4175824175824176
2021-08-30/2021-09-05,0.054945054945054944,0.02197802197802198,0.06593406593406594,0.01098901098901099,0.2087912087912088,0.3626373626373626
2021-09-06/2021-09-12,0.060240963855421686,0.07228915662650602,0.1566265060240964,0.0,0.2289156626506024,0.5180722891566265
2021-09-13/2021-09-19,0.0,0.01282051282051282,0.15384615384615385,0.0,0.24358974358974358,0.41025641025641024
2021-09-20/2021-09-26,0.04081632653061224,0.0,0.12244897959183673,0.0,0.23469387755102042,0.3979591836734694
2021-09-27/2021-10-03,0.03125,0.020833333333333332,0.14583333333333334,0.0,0.2708333333333333,0.46875
2021-10-04/2021-10-10,0.027777777777777776,0.037037037037037035,0.1388888888888889,0.0,0.23148148148148148,0.4351851851851852
2021-10-11/2021-10-17,0.06944444444444445,0.05555555555555555,0.1388888888888889,0.0,0.1388888888888889,0.4027777777777778
2021-10-18/2021-10-24,0.06796116504854369,0.02912621359223301,0.14563106796116504,0.0,0.22330097087378642,0.46601941747572817
2021-10-25/2021-10-31,0.08860759493670886,0.02531645569620253,0.1518987341772152,0.0,0.25316455696202533,0.5189873417721519
